time,tag_id,distance,bearing
1778594563.8875751,19,1.174073,0.372481
1778594563.9209042,19,1.149183,0.369141
1778594563.9542322,19,1.153627,0.366491
1778594564.2875187,19,0.931340,0.275540
1778594564.3208475,19,0.870995,0.265639
1778594564.354176,19,0.960807,0.252182
1778594564.3875046,19,0.968323,0.239758
1778594564.454162,19,1.200270,0.201377
1778594564.4874907,19,1.226030,0.187678
1778594564.5208194,19,1.248192,0.173718
1778594564.5541482,19,1.288524,0.164469
1778594564.5874767,19,1.303164,0.153366
1778594564.6208053,19,1.316363,0.142833
1778594564.6541338,19,1.322165,0.134490
1778594564.687463,19,1.330688,0.124636
1778594564.720791,19,1.338483,0.115070
1778594564.7541199,19,1.344504,0.104470
1778594564.7874484,19,1.349334,0.094061
1778594564.8207772,19,1.350929,0.087667
1778594564.854106,19,1.381566,0.077473
1778594564.8874342,19,1.357484,0.068607
1778594564.9540915,19,1.361164,0.048600
1778594564.98742,19,1.385963,0.041158
1778594565.0207493,19,1.362821,0.033708
1778594565.0540776,19,1.359906,0.026283
1778594565.0874064,19,1.360426,0.016400
1778594565.1540635,19,1.359673,-0.000874
1778594565.1873922,19,1.388095,-0.008257
1778594565.2540498,19,1.363770,-0.025558
1778594565.2864754,19,1.359834,-0.032981
1778594565.319804,19,1.359015,-0.042895
1778594565.353133,19,1.383747,-0.052825
1778594565.3864613,19,1.355581,-0.060329
1778594565.41979,19,1.355378,-0.067852
1778594565.4531186,19,1.353064,-0.077943
1778594565.486447,19,1.350090,-0.088127
1778594565.5531044,19,1.344071,-0.103646
1778594565.5864348,19,1.338752,-0.114211
1778594565.6197617,19,1.305822,-0.122336
1778594565.6530905,19,1.328114,-0.132002
1778594565.7197475,19,1.282064,-0.152324
1778594565.7530766,19,1.269301,-0.162953
1778594565.8197336,19,1.251123,-0.186343
1778594565.886391,19,1.082082,-0.217624
1778594565.9197197,19,0.954549,-0.237078
1778594565.9530482,19,0.901005,-0.251249
1778594565.9863768,19,0.866974,-0.265905
1778594566.1196914,19,1.034032,-0.323751
1778594566.15302,19,1.056694,-0.334855
1778594566.186349,19,1.071709,-0.341363
1778594566.2196772,19,1.089078,-0.348361
1778594566.2530065,19,1.085503,-0.354106
1778594566.2863345,19,1.101527,-0.357851
1778594566.3196633,19,1.128232,-0.362732
1778594566.3863206,19,1.151332,-0.369827
1778594566.4196491,19,1.176416,-0.373099
1778594566.4529777,19,1.205384,-0.376433
1778594566.5862927,19,1.272439,-0.385565
1778594566.686278,19,1.348943,-0.391706
1778594566.7196069,19,1.346640,-0.393388
1778594566.7529356,19,1.362559,-0.394535
1778594566.7862642,19,1.388190,-0.396341
1778594566.819593,19,1.461417,-0.397861
1778594566.8529212,19,1.466497,-0.399766
1778594566.9195793,19,1.478971,-0.403776
1778594566.9529073,19,1.504211,-0.405236
1778594566.9862359,19,1.529451,-0.406649
1778594567.0195649,19,1.528706,-0.408143
1778594567.0528934,19,1.553462,-0.409466
1778594567.086222,19,1.578210,-0.410750
1778594567.1195507,19,1.606087,-0.412144
1778594567.1528795,19,1.640030,-0.413807
1778594567.6861377,21,0.826803,0.407001
1778594567.7194662,21,0.815437,0.405604
1778594567.7527947,21,0.804085,0.404165
1778594567.7861233,21,0.806181,0.402911
1778594567.819452,21,0.794637,0.401389
1778594567.8527808,21,0.783110,0.399818
1778594567.9194381,21,0.763898,0.396236
1778594567.9527667,21,0.759001,0.394622
1778594567.9860952,21,0.756153,0.392810
1778594568.019424,21,0.744308,0.390932
1778594568.0527525,21,0.743337,0.388792
1778594568.1194096,21,0.711388,0.385331
1778594568.1527386,21,0.322962,0.368910
1778594568.186067,21,0.689804,0.381861
1778594568.2193956,21,0.698681,0.379225
1778594568.2527246,21,0.678181,0.377367
1778594568.3527105,21,0.660226,0.368179
1778594568.4193678,21,0.629559,0.363575
1778594568.5193534,21,0.578663,0.423021
1778594568.586011,21,0.593353,0.347678
1778594568.7859824,21,0.541457,0.314392
1778594568.8193114,21,0.538706,0.303227
1778594568.8859684,21,0.534255,0.274642
1778594568.9192975,21,0.530530,0.255680
1778594568.9526258,21,0.531686,0.246439
1778594568.9859545,21,0.516772,0.234508
1778594569.0192835,21,0.505345,0.222762
1778594569.0526118,21,0.493299,0.210865
1778594569.119269,21,0.480502,0.192777
1778594569.1525977,21,0.478329,0.179952
1778594569.1859264,21,0.487535,0.165312
1778594569.219255,21,0.509855,0.156250
1778594569.252584,21,0.540279,0.140803
1778594569.3192408,21,0.555096,0.122180
1778594569.3525696,21,0.573760,0.110049
1778594569.419227,21,0.587469,0.093140
1778594569.4525554,21,0.594942,0.082207
1778594569.5192127,21,0.613241,0.066170
1778594569.5525413,21,0.618144,0.055667
1778594569.5858705,21,0.620265,0.050459
1778594569.6191986,21,0.625633,0.042593
1778594569.6525273,21,0.620154,0.034901
1778594569.6858559,21,0.622597,0.024656
1778594569.7191844,21,0.625218,0.015737
1778594569.7525132,21,0.620078,0.008138
1778594569.8191705,21,0.627297,-0.008493
1778594569.852499,21,0.620492,-0.016053
1778594569.9191568,21,0.620110,-0.035156
1778594569.952485,21,0.618844,-0.041621
1778594569.9858136,21,0.623393,-0.049391
1778594570.0191422,21,0.616147,-0.057145
1778594570.0857997,21,0.610070,-0.075683
1778594570.1191282,21,0.608162,-0.083604
1778594570.152457,21,0.603445,-0.094504
1778594570.1857855,21,0.602816,-0.102925
1778594570.219114,21,0.599163,-0.111482
1778594570.252443,21,0.591015,-0.123211
1778594570.2857714,21,0.575277,-0.132418
1778594570.3191001,21,0.569260,-0.141805
1778594570.3524287,21,0.542265,-0.151752
1778594570.3857572,21,0.529317,-0.163879
1778594570.419086,21,0.521006,-0.177953
1778594570.4524145,21,0.501446,-0.197890
1778594570.4857433,21,0.513224,-0.196595
1778594570.5190718,21,0.490077,-0.222490
1778594570.5524006,21,0.491766,-0.230550
1778594570.5857296,21,0.505776,-0.241017
1778594570.619058,21,0.501452,-0.252666
1778594570.6523864,21,0.506175,-0.263320
1778594570.685715,21,0.504226,-0.279382
1778594570.7190437,21,0.509249,-0.291352
1778594570.7523725,21,0.515488,-0.304332
1778594570.785701,21,0.519963,-0.312254
1778594570.8190298,21,0.523758,-0.319651
1778594570.8523583,21,0.533421,-0.325951
1778594570.919016,21,0.541523,-0.337887
1778594570.9523442,21,0.459504,-0.332330
1778594570.9856727,21,0.595887,-0.345524
1778594571.0190015,21,0.570623,-0.349226
1778594571.1856446,21,0.649698,-0.365861
1778594571.2189734,21,0.632612,-0.369647
1778594571.2523022,21,0.640796,-0.372097
1778594571.3856165,21,0.688564,-0.381823
1778594571.4856026,21,0.709467,-0.388599
1778594571.5189312,21,0.733848,-0.390430
1778594571.55226,21,0.732810,-0.391681
1778594571.5855887,21,0.732154,-0.393446
1778594571.6189175,21,0.751139,-0.395215
1778594571.6522455,21,0.755711,-0.396811
1778594571.6855743,21,0.771449,-0.398714
1778594571.7189028,21,0.783256,-0.400327
1778594571.7855601,21,0.799115,-0.403740
1778594571.818889,21,0.809252,-0.405501
1778594578.8518434,48,0.453324,0.378623
1778594578.8851721,48,0.447386,0.376334
1778594578.9185011,48,0.439321,0.374058
1778594578.9518294,48,0.436794,0.371431
1778594578.985158,48,0.429339,0.368335
1778594579.0184867,48,0.422393,0.366009
1778594579.0518155,48,0.418497,0.363097
1778594579.085144,48,0.412149,0.360501
1778594579.1184726,48,0.408849,0.357833
1778594579.1518013,48,0.402969,0.354822
1778594579.18513,48,0.397428,0.351646
1778594579.2184587,48,0.391584,0.347725
1778594579.2517874,48,0.385218,0.344447
1778594579.285116,48,0.380131,0.340798
1778594579.3184445,48,0.403725,0.335815
1778594579.3517733,48,0.399999,0.333266
1778594579.3851018,48,0.392390,0.328679
1778594579.4184306,48,0.210064,0.418884
1778594579.4850879,48,0.347641,0.316473
1778594579.5184164,48,0.228024,0.285461
1778594579.551745,48,0.334893,0.303442
1778594579.585074,48,0.327998,0.298129
1778594579.6184022,48,0.320104,0.287781
1778594579.651731,48,0.313525,0.278680
1778594579.6850595,48,0.306987,0.269695
1778594579.718388,48,0.305204,0.264107
1778594579.7517169,48,0.303812,0.252912
1778594579.8183744,48,0.299330,0.240518
1778594579.8517027,48,0.298807,0.233855
1778594579.8850315,48,0.295141,0.224967
1778594579.9183602,48,0.294650,0.220948
1778594579.9516888,48,0.291828,0.212890
1778594579.9850173,48,0.288014,0.204133
1778594580.018346,48,0.289997,0.198427
1778594580.0516746,48,0.289762,0.192031
1778594580.0850034,48,0.287392,0.186357
1778594580.1183317,48,0.290058,0.178105
1778594580.1516604,48,0.293283,0.171359
1778594580.1849892,48,0.295493,0.161768
1778594580.2183177,48,0.300623,0.153910
1778594580.2516468,48,0.299670,0.143729
1778594580.284975,48,0.304478,0.134598
1778594580.3183036,48,0.303735,0.126716
1778594580.3516324,48,0.302924,0.117338
1778594580.384961,48,0.302593,0.109553
1778594580.41829,48,0.301285,0.102955
1778594580.4516182,48,0.301692,0.092716
1778594580.484947,48,0.300444,0.085956
1778594580.5182755,48,0.299802,0.075562
1778594580.5516043,48,0.298918,0.068605
1778594580.584933,48,0.298207,0.056781
1778594580.619624,48,0.299038,0.049378
1778594580.6529524,48,0.298981,0.038254
1778594580.6862812,48,0.299714,0.030566
1778594580.7196097,48,0.299030,0.019324
1778594580.7529387,48,0.300383,0.008260
1778594580.7862673,48,0.302088,-0.000350
1778594580.8195958,48,0.299003,-0.027146
