time,tag_id,distance,bearing
1782921749.623417,42,0.742617,-0.013123
1782921750.3566463,42,0.742617,-0.013123
1782921751.0232196,42,0.723757,-0.005441
1782921751.7564502,42,0.698105,-0.006713
1782921752.4895527,42,0.674356,-0.010381
1782921753.2894397,42,0.645895,-0.011067
1782921753.9560127,42,0.622731,-0.014460
1782921755.3558152,42,0.573791,-0.021316
1782921756.6556323,42,0.548009,0.062593
1782921757.7888064,42,0.508090,0.355165
1782921757.7888064,5,0.900759,-0.280535
1782921759.4219093,5,0.820082,0.237227
1782921761.488489,5,1.493999,-0.026667
1782921762.18839,5,1.493999,-0.026667
1782921763.3215635,5,1.136682,0.180317
1782921764.1547825,5,1.022122,0.190202
1782921764.8880098,5,1.082986,0.191778
1782921765.5879111,5,0.988252,0.195324
1782921766.287813,5,0.938597,0.197991
1782921766.9543853,5,0.894693,0.202663
1782921768.2542024,5,0.877359,0.207538
1782921768.9541042,5,0.805701,0.214705
1782921769.6539364,5,0.798789,0.215149
1782921770.3871658,5,0.746178,0.219323
1782921771.6203263,5,0.725591,0.231758
1782921772.353556,5,0.724584,0.231936
1782921773.220101,5,0.910488,0.289668
1782921773.9200022,5,1.355176,0.391112
1782921775.153162,11,1.254374,-0.301148
1782921776.7196074,11,1.262946,0.195652
1782921777.4861665,13,0.457277,-0.327213
1782921778.619365,13,0.350813,-0.053523
1782921779.9191818,13,0.383141,0.186879
1782921782.085544,28,1.439850,0.306859
1782921782.9854167,14,1.154318,-0.343485
1782921784.5851917,14,1.400710,0.142574
1782921785.4184082,14,1.364913,0.377401
1782921790.217684,42,0.367513,-0.319515
1782921791.6508155,42,0.331904,0.191333
1782921792.4840312,42,0.399833,0.361023
1782921793.1839335,5,1.468121,-0.400385
1782921794.4837496,5,1.100167,-0.358871
1782921795.5502567,5,1.280312,-0.029152
1782921796.5167873,5,0.714367,0.239153
1782921797.4499888,5,0.714367,0.239153
1782921798.3831906,5,0.686352,0.249052
1782921799.2164068,5,0.696156,0.251807
1782921800.0829515,5,0.704494,0.255131
1782921800.8828387,5,0.733482,0.261456
1782921802.2826412,5,0.724917,0.265871
1782921803.482582,5,0.745656,0.272738
1782921804.7157407,5,0.770163,0.277948
1782921805.3823142,5,0.800980,0.287426
1782921806.4488304,5,0.787921,0.293937
1782921807.1487315,5,0.762708,0.299486
1782921808.4152198,5,0.737096,0.308454
1782921809.9816658,5,0.603287,0.235391
1782921811.0482833,5,0.571581,0.200915
1782921811.84817,5,0.564799,0.202408
1782921812.648057,5,0.584794,0.206017
1782921813.8478882,5,0.569626,0.214618
1782921814.9477334,5,0.558804,0.217386
1782921815.847607,5,0.560902,0.222601
1782921816.6474943,5,0.544156,0.225708
1782921817.5806956,5,0.507087,0.145537
1782921818.3139257,5,0.525326,0.075966
1782921819.1137686,5,0.486450,0.081017
1782921819.8469994,5,0.460420,0.081409
1782921821.1801453,5,0.419259,0.100986
1782921822.2799895,5,0.406397,0.085226
1782921823.3465059,5,0.484569,-0.219430
1782921824.5463371,5,0.588851,-0.344049
1782921824.5463371,15,1.443768,0.408062
1782921825.7794964,5,0.615011,-0.365687
1782921825.7794964,15,1.358474,0.403831
1782921827.8125482,15,1.032622,0.381350
1782921828.512449,15,0.625553,0.258357
1782921829.3123362,15,1.083086,0.052547
1782921830.1122234,15,1.077914,-0.062004
1782921831.4786985,15,0.996806,-0.090716
1782921832.9451587,15,0.979332,0.024693
1782921834.1783175,15,0.952311,0.024858
1782921835.7447329,15,0.887430,0.024781
1782921836.7112634,15,0.865737,0.026082
1782921837.9777522,15,0.568434,0.259480
1782921838.710983,15,0.853487,0.380667
1782921841.5105882,5,0.460260,-0.331831
1782921842.8438585,5,0.344474,-0.050370
1782921843.5770898,5,0.349756,0.114453
1782921844.2436612,5,0.349756,0.114453
1782921845.0102203,5,0.344605,-0.037069
1782921850.4094808,15,0.953730,0.400282
1782921851.1427112,15,0.812788,0.379853
1782921851.8092837,15,0.752202,0.371545
1782921853.0424435,15,0.737851,0.370677
1782921854.2756038,15,0.506892,0.244111
1782921855.4421062,15,0.565459,0.152029
1782921856.3753083,15,0.503385,0.163138
1782921857.175195,15,0.476352,0.172319
1782921857.808439,15,0.456809,0.177634
1782921858.5083404,15,0.448715,0.181704
1782921859.7081957,15,0.429741,0.191035
1782921860.9080265,15,0.420368,0.199496
1782921861.641257,15,0.411766,0.206523
1782921862.8410876,15,0.391158,0.216973
1782921863.7076325,15,0.376782,0.223443
1782921864.4075341,15,0.373930,0.223581
1782921865.1407645,15,0.373803,0.223446
1782921866.3405948,15,0.374581,-0.037487
1782921867.1404827,15,0.386914,-0.253423
1782921867.9070642,15,0.531596,-0.377500
1782921872.3064454,55,0.419662,0.274380
1782921873.3729618,55,0.407987,0.108177
1782921874.2728348,55,0.401708,0.108081
1782921875.0060651,55,0.366837,0.112991
1782921876.2725737,55,0.304841,0.143233
1782921877.5390615,55,0.292070,0.152093
1782921878.8722076,55,0.303944,-0.201439
1782921879.6387663,55,0.348260,-0.352798
1782921879.6387663,13,1.320643,0.363950
1782921881.905114,13,1.231035,-0.350871
1782921895.336562,13,1.157682,-0.386940
1782921896.6030495,13,0.776875,-0.230416
1782921897.3696077,13,0.992345,-0.109444
1782921898.136167,13,0.968156,0.028190
1782921898.9027264,13,0.891652,0.107536
1782921899.6360464,13,0.761517,0.148686
1782921900.902534,13,0.688130,0.285781
1782921902.5356376,13,0.826852,0.383576
1782921903.2355385,13,0.826852,0.383576
1782921904.5020273,13,0.821696,0.387034
1782921905.2352579,13,0.822621,0.389720
1782921906.7017195,13,0.804441,0.394031
1782921912.9008634,14,0.996194,0.288234
1782921915.7671268,20,1.183791,-0.347621
1782921916.467105,20,1.435402,-0.152362
1782921917.2003348,20,1.424078,0.019600
1782921918.5001519,20,1.258921,0.384604
1782921919.3333683,20,1.440235,0.407528
1782921924.7659912,20,1.287375,0.406220
1782921926.0324795,20,0.958657,0.367679
1782921926.6990528,20,0.885123,0.296396
1782921928.6654425,20,0.926028,-0.364401
1782921929.6986306,17,0.843825,0.411488
1782921929.6986306,20,1.182239,-0.402754
1782921929.6986306,56,1.327672,-0.196505
1782921930.8984609,17,0.791315,0.408945
1782921930.8984609,20,1.226162,-0.411813
1782921930.8984609,56,0.880184,-0.272538
1782921931.8649998,20,1.227083,-0.414002
1782921931.8649998,56,0.894750,-0.280989
1782921932.7648737,56,0.960964,-0.288748
1782921933.4981036,56,0.939804,-0.289535
1782921934.2313335,56,1.158427,-0.303983
1782921934.8979068,56,1.201116,-0.309381
1782921935.5644796,56,1.208115,-0.317431
1782921936.9642823,56,1.196768,-0.329094
1782921938.1974413,56,1.171784,-0.338718
1782921939.0973153,56,1.157362,-0.344925
1782921939.9305527,56,1.149793,-0.349286
1782921940.6971111,56,1.144458,-0.353059
1782921941.9636002,56,1.118435,-0.359150
1782921942.69683,56,1.113965,-0.360863
1782921943.6300323,56,1.122594,-0.366404
1782921944.3965905,56,1.098989,-0.368506
1782921945.0964932,56,1.099951,-0.368377
1782921945.0964932,53,1.488895,-0.316092
1782921946.5629523,56,1.070805,-0.372679
1782921947.962723,56,1.063084,-0.376891
1782921948.9625828,56,1.248379,-0.396581
1782921952.662062,17,0.385998,0.376623
1782921953.895221,17,0.347765,0.278889
1782921954.6284516,17,0.347765,0.278889
1782921955.361682,17,0.347765,0.278889
1782921956.0949118,17,0.347765,0.278889
1782921957.3280916,17,0.303968,0.141167
1782921957.9946642,17,0.301431,-0.193249
1782921962.627346,42,1.058726,-0.390771
1782921966.5603304,20,0.713323,0.402302
1782921967.9601333,20,0.645695,0.076336
1782921968.6933632,20,0.618715,-0.124869
1782921969.393265,20,0.542781,-0.362872
1782921969.393265,56,1.013957,0.363585
1782921970.526438,56,1.197948,-0.012619
1782921971.1596823,56,0.684129,-0.236145
1782921971.826255,56,1.152672,-0.388122
1782921979.4916704,56,1.154215,-0.055059
1782921980.8916144,20,0.567310,-0.370104
1782921980.8916144,56,0.992035,0.352774
1782921998.5558,20,0.470254,0.394607
1782921999.9222739,20,0.470254,0.394607
1782922005.8881752,20,0.371074,-0.212536
1782922007.2879786,20,0.381741,0.138577
1782922025.9519882,20,0.353479,0.243473
1782922026.6518898,20,0.337638,0.081886
1782922027.3851202,20,0.327029,-0.104059
1782922028.1183496,20,0.349196,-0.273523
1782922029.3848379,20,0.341469,-0.332722
1782922030.0847392,20,0.348672,-0.246192
1782922030.8180776,20,0.341748,-0.072845
1782922031.4846509,20,0.333920,0.093372
1782922033.0177681,20,0.415761,0.388905
1782922057.814363,22,0.672151,-0.380685
1782922058.5475929,22,0.457057,-0.241817
1782922059.2141652,22,0.701930,-0.035444
1782922060.3806722,22,0.704846,-0.009182
1782922061.113898,22,0.681898,-0.003578
1782922061.8804703,22,0.658218,-0.004650
1782922062.6470284,22,0.633302,-0.006674
1782922063.8801882,22,0.596190,-0.009062
1782922064.6134186,22,0.566917,-0.005914
1782922065.3799772,22,0.541939,-0.010074
1782922066.1132076,22,0.516941,-0.012131
1782922067.413024,22,0.438993,-0.117854
1782922068.1795826,22,0.372169,-0.226821
1782922068.9129086,22,0.420288,-0.309961
1782922088.4435568,12,1.044831,-0.255777
1782922092.1763356,50,0.879320,-0.259719
1782922099.1753507,7,1.277497,-0.270187
1782922114.8397663,34,1.213450,0.373784
1782922117.939431,20,1.335972,0.381658
1782922117.939431,51,1.412617,-0.197144
1782922119.672523,20,1.456471,-0.022701
1782922120.472408,20,1.452626,-0.023960
1782922121.7722251,20,1.133752,-0.346337
1782922121.7722251,17,1.428430,0.308728
1782922130.837753,20,1.063510,-0.373495
1782922130.837753,17,1.251382,0.351010
1782922131.6376402,20,1.172411,-0.126851
1782922132.5375135,20,1.198217,-0.066455
1782922133.8373272,20,1.176036,-0.066365
1782922135.1038153,20,1.130425,-0.068810
1782922136.1036744,20,1.091937,-0.120304
1782922137.9700785,20,0.898729,-0.312183
1782922137.9700785,17,1.474046,0.392515
1782922138.9032805,20,0.880763,-0.327193
1782922138.9032805,17,1.484499,0.393212
1782922139.769825,20,0.838870,-0.341356
1782922139.769825,17,1.440281,0.394096
1782922141.2362983,20,0.806762,-0.178648
1782922142.1361725,20,1.015190,-0.012482
1782922143.036045,20,0.973050,0.089224
1782922144.3025336,20,0.841482,0.152841
1782922145.1357498,20,0.813237,0.157928
1782922145.8689792,20,0.774576,0.160538
1782922146.60221,20,0.745342,0.165768
1782922147.4687543,20,0.519975,0.231533
1782922148.2353132,20,0.651505,0.334664
1782922148.9685428,20,0.729688,0.379968
1782922151.7015402,34,0.822686,-0.187232
1782922157.500723,34,0.634396,0.391103
1782922158.1339967,34,0.588837,0.387509
1782922158.1339967,54,1.156849,-0.208856
1782922158.8338995,34,0.578381,0.392569
1782922158.8338995,54,1.070424,-0.218769
1782922158.8338995,17,0.711385,0.369426
1782922159.567129,54,1.217432,-0.192378
1782922162.6000352,34,0.409713,0.343235
1782922163.3665936,34,0.405193,0.135633
1782922164.6997395,34,0.380156,-0.223887
1782922165.4663932,34,0.455655,-0.376381
1782922171.9654784,17,0.914205,-0.237913
1782922173.3652813,22,1.040659,0.358987
1782922174.1990438,22,1.220518,0.082619
1782922175.5988467,22,0.853555,-0.295161
1782922176.5320485,22,1.372191,-0.407602
1782922184.0970466,50,0.929070,-0.251971
1782922186.8966515,7,1.293114,0.198543
1782922188.063154,50,1.466439,-0.384406
1782922188.063154,7,1.418753,0.201724
1782922189.029685,7,1.226538,0.206618
1782922189.029685,50,1.499857,-0.386409
1782922189.7295866,7,1.169001,0.215203
1782922189.7295866,50,1.484414,-0.387378
1782922191.1294339,50,1.442193,-0.390532
1782922191.1294339,7,1.075786,0.225038
1782922191.9959776,50,0.356329,-0.426882
1782922191.9959776,7,0.963584,0.233094
1782922193.5624244,7,0.906773,0.247672
1782922194.5622838,50,1.425290,-0.396340
1782922195.395499,50,1.431712,-0.398091
1782922195.395499,7,0.870430,0.250339
1782922196.9286163,50,1.487961,-0.408411
1782922196.9286163,7,1.265932,0.187493
1782922198.6617014,54,1.184309,0.387982
1782922199.4282603,7,0.925992,-0.224399
1782922199.4282603,54,0.900684,0.282217
1782922200.9280488,54,0.900976,-0.178363
1782922201.6612797,54,1.091252,-0.373432
1782922205.027472,54,1.367624,-0.405656
