time,x,y,theta
1782920768.403179,0.356869,-1.322940,0.885530
1782920768.452652,0.356869,-1.322940,0.885530
1782920768.5227778,0.356869,-1.322940,0.885530
1782920768.5624514,0.356869,-1.322940,0.885530
1782920768.6129937,0.356869,-1.322940,0.885530
1782920768.6631114,0.356869,-1.322940,0.885530
1782920768.7122002,0.356869,-1.322940,0.885530
1782920768.7631772,0.356869,-1.322940,0.885530
1782920768.8031206,0.356875,-1.322940,0.885577
1782920768.8524408,0.356875,-1.322940,0.885577
1782920768.9027948,0.356875,-1.322940,0.885577
1782920768.962967,0.356875,-1.322940,0.885577
1782920769.013162,0.356875,-1.322940,0.885577
1782920769.0630012,0.356875,-1.322940,0.885577
1782920769.1129785,0.356875,-1.322940,0.885577
1782920769.1619868,0.356875,-1.322940,0.885577
1782920769.2030756,0.356875,-1.322940,0.885577
1782920769.2531528,0.356875,-1.322940,0.885577
1782920769.3025093,0.356875,-1.322940,0.885577
1782920769.3629704,0.356875,-1.322940,0.885577
1782920769.4122336,0.356875,-1.322940,0.885577
1782920769.4630291,0.356875,-1.322940,0.885577
1782920769.5130098,0.356875,-1.322940,0.885577
1782920769.5629582,0.356875,-1.322940,0.885577
1782920769.6029754,0.356875,-1.322940,0.885577
1782920769.6684854,0.356885,-1.322940,0.885653
1782920769.6986349,0.356879,-1.322940,0.885609
1782920769.7669926,0.356886,-1.322940,0.885660
1782920769.817124,0.356883,-1.322940,0.885637
1782920769.8589664,0.356876,-1.322940,0.885588
1782920769.9089878,0.356880,-1.322940,0.885619
1782920769.958987,0.356880,-1.322940,0.885612
1782920770.0069792,0.356875,-1.322940,0.885577
1782920770.0569968,0.356874,-1.322940,0.885570
1782920770.0986729,0.356870,-1.322940,0.885537
1782920770.1670094,0.356879,-1.322940,0.885609
1782920770.2159858,0.356873,-1.322940,0.885566
1782920770.2590156,0.356875,-1.322940,0.885575
1782920770.3079746,0.356875,-1.322940,0.885579
1782920770.362998,0.356868,-1.322940,0.885525
1782920770.4029841,0.356868,-1.322940,0.885525
1782920770.456113,0.356859,-1.322941,0.885457
1782920770.4989662,0.356859,-1.322941,0.885457
1782920770.570146,0.356870,-1.322940,0.885539
1782920770.6160095,0.356867,-1.322940,0.885521
1782920770.6590168,0.356867,-1.322940,0.885521
1782920770.7080097,0.356867,-1.322940,0.885519
1782920770.7639933,0.356867,-1.322940,0.885519
1782920770.804076,0.356867,-1.322940,0.885519
1782920770.8528342,0.356867,-1.322940,0.885519
1782920770.922305,0.356867,-1.322940,0.885519
1782920770.964382,0.356867,-1.322940,0.885519
1782920771.0129762,0.356867,-1.322940,0.885519
1782920771.0630057,0.356867,-1.322940,0.885519
1782920771.1129823,0.356867,-1.322940,0.885519
1782920771.1639764,0.356867,-1.322940,0.885519
1782920771.2030253,0.356867,-1.322940,0.885518
1782920771.2724383,0.356867,-1.322940,0.885518
1782920771.302476,0.356867,-1.322940,0.885518
1782920771.3640606,0.356867,-1.322940,0.885518
1782920771.4131746,0.356867,-1.322940,0.885518
1782920771.4629853,0.356867,-1.322940,0.885518
1782920771.5129735,0.356867,-1.322940,0.885518
1782920771.5630064,0.356867,-1.322940,0.885518
1782920771.6039925,0.356867,-1.322940,0.885518
1782920771.6531513,0.356867,-1.322940,0.885518
1782920771.7223723,0.356867,-1.322940,0.885518
1782920771.7641604,0.356867,-1.322940,0.885518
1782920771.8130007,0.356867,-1.322940,0.885518
1782920771.863028,0.356867,-1.322940,0.885518
1782920771.912992,0.356867,-1.322940,0.885518
1782920771.9623888,0.356867,-1.322940,0.885518
1782920772.004051,0.356867,-1.322940,0.885518
1782920772.0524514,0.356867,-1.322940,0.885518
1782920772.1222582,0.356867,-1.322940,0.885518
1782920772.1639943,0.356867,-1.322940,0.885518
1782920772.21316,0.356867,-1.322940,0.885518
1782920772.2629828,0.356850,-1.322941,0.885388
1782920772.3129933,0.356850,-1.322941,0.885388
1782920772.363024,0.356850,-1.322941,0.885388
1782920772.4030569,0.356850,-1.322941,0.885388
1782920772.453114,0.356850,-1.322941,0.885388
1782920772.5229683,0.356850,-1.322941,0.885388
1782920772.5630703,0.356850,-1.322941,0.885388
1782920772.6130176,0.356850,-1.322941,0.885388
1782920772.6630359,0.356850,-1.322941,0.885388
1782920772.712999,0.356850,-1.322941,0.885388
1782920772.7630138,0.356850,-1.322941,0.885388
1782920772.8030188,0.356850,-1.322941,0.885388
1782920772.8530164,0.356850,-1.322941,0.885388
1782920772.9230154,0.356850,-1.322941,0.885388
1782920772.9630618,0.356850,-1.322941,0.885388
1782920773.013115,0.356850,-1.322941,0.885388
1782920773.0630379,0.356850,-1.322941,0.885388
1782920773.1130347,0.356850,-1.322941,0.885388
1782920773.1640177,0.356850,-1.322941,0.885388
1782920773.203032,0.356850,-1.322941,0.885388
1782920773.2530413,0.356850,-1.322941,0.885388
1782920773.32387,0.356850,-1.322941,0.885388
1782920773.3630643,0.356850,-1.322941,0.885388
1782920773.4130425,0.356850,-1.322941,0.885388
1782920773.4630463,0.356850,-1.322941,0.885388
1782920773.5130074,0.356850,-1.322941,0.885388
1782920773.5630305,0.356850,-1.322941,0.885388
1782920773.603084,0.356850,-1.322941,0.885388
