time,x,y,theta
1778594573.1213374,-0.357491,1.170250,-0.869651
1778594573.162869,-0.357295,1.170326,-0.880473
1778594573.214279,-0.357084,1.170573,-0.893858
1778594573.263378,-0.356823,1.170629,-0.907332
1778594573.3112907,-0.356778,1.170855,-0.920424
1778594573.3602602,-0.356631,1.170991,-0.933591
1778594573.4028618,-0.356509,1.171081,-0.944517
1778594573.4527686,-0.356437,1.171174,-0.957597
1778594573.502859,-0.356462,1.171271,-0.970477
1778594573.5632958,-0.356550,1.171432,-0.986019
1778594573.6132824,-0.356485,1.171583,-0.999639
1778594573.6633055,-0.356236,1.171763,-1.013682
1778594573.7113466,-0.356252,1.171889,-1.026249
1778594573.7612705,-0.356309,1.172103,-1.039581
1778594573.8039277,-0.356140,1.172278,-1.050152
1778594573.8542893,-0.355959,1.172361,-1.063114
1778594573.9199803,-0.356000,1.172620,-1.080731
1778594573.9626052,-0.355880,1.172707,-1.092780
1778594574.0132794,-0.355739,1.172881,-1.107076
1778594574.06328,-0.355371,1.172906,-1.120990
1778594574.114446,-0.355125,1.172964,-1.136107
1778594574.1602693,-0.354957,1.172974,-1.147672
1778594574.2032893,-0.354825,1.173119,-1.157488
1778594574.252926,-0.354712,1.173331,-1.168667
1778594574.3194566,-0.354525,1.173484,-1.187062
1778594574.3642995,-0.354235,1.173591,-1.200143
1778594574.4133348,-0.354032,1.173715,-1.212568
1778594574.463307,-0.353916,1.173761,-1.225977
1778594574.514288,-0.353675,1.173934,-1.239304
1778594574.5603182,-0.353535,1.173986,-1.251281
1778594574.6033,-0.353406,1.174063,-1.262347
1778594574.653974,-0.353319,1.174380,-1.276645
1778594574.7197857,-0.353341,1.174549,-1.294147
1778594574.7626567,-0.353231,1.174690,-1.305274
1778594574.8133776,-0.353148,1.174745,-1.318662
1778594574.86329,-0.353073,1.174892,-1.331888
1778594574.914284,-0.352868,1.175036,-1.344990
1778594574.9603114,-0.352876,1.175192,-1.357095
1778594575.0032995,-0.352859,1.175365,-1.368778
1778594575.0740106,-0.352594,1.175568,-1.387735
1778594575.1200101,-0.352479,1.175723,-1.399609
1778594575.1624146,-0.352309,1.175780,-1.410407
1778594575.2123904,-0.352295,1.175890,-1.423637
1778594575.2632926,-0.352198,1.175996,-1.436599
1778594575.313413,-0.351894,1.176068,-1.451359
1778594575.3585732,-0.351670,1.176101,-1.464602
1778594575.4023948,-0.351460,1.176166,-1.477240
1778594575.4530082,-0.351328,1.176314,-1.490919
1778594575.5186796,-0.351206,1.176663,-1.507254
1778594575.5624661,-0.351181,1.176869,-1.517809
1778594575.6133249,-0.351098,1.176992,-1.529856
1778594575.663317,-0.351060,1.177166,-1.543515
1778594575.7132864,-0.350985,1.177379,-1.556939
1778594575.7652686,-0.350827,1.177640,-1.571254
1778594575.8034122,-0.350742,1.177750,-1.581981
1778594575.8528352,-0.350702,1.177925,-1.594787
1778594575.9032307,-0.350551,1.178074,-1.607116
1778594575.9637058,-0.350385,1.178183,-1.622144
1778594576.014335,-0.350379,1.178305,-1.636330
1778594576.0632977,-0.350300,1.178444,-1.649551
1778594576.1133318,-0.350101,1.178429,-1.662726
1778594576.159273,-0.349919,1.178519,-1.674641
1778594576.2043455,-0.349473,1.178474,-1.686759
1778594576.2530982,-0.349152,1.178273,-1.699321
1778594576.3239758,-0.349013,1.178501,-1.717121
1778594576.3643465,-0.348924,1.178519,-1.728171
1778594576.4124954,-0.348849,1.178578,-1.742225
1778594576.4624133,-0.348673,1.178726,-1.755935
1778594576.5133097,-0.348578,1.178834,-1.769487
1778594576.5642858,-0.348333,1.179012,-1.782295
1778594576.604339,-0.348317,1.179038,-1.792190
1778594576.6723907,-0.348127,1.179055,-1.810261
1778594576.7028222,-0.347993,1.179047,-1.817556
1778594576.7625935,-0.347885,1.179154,-1.834292
1778594576.814343,-0.347739,1.179387,-1.848093
1778594576.8643265,-0.347705,1.179600,-1.862207
1778594576.9133139,-0.347603,1.179793,-1.875445
1778594576.9652734,-0.347306,1.179873,-1.889281
1778594577.004342,-0.347185,1.179902,-1.899051
1778594577.0531154,-0.347064,1.179974,-1.910631
1778594577.1236055,-0.347027,1.180248,-1.930397
1778594577.1638236,-0.347014,1.180482,-1.941718
1778594577.2133281,-0.346853,1.180543,-1.955518
1778594577.263328,-0.346644,1.180573,-1.968217
1778594577.3128984,-0.346470,1.180563,-1.980141
1778594577.3633683,-0.346330,1.180638,-1.992475
1778594577.4043477,-0.346253,1.180750,-2.002893
1778594577.4537053,-0.346264,1.181013,-2.017238
1778594577.5238056,-0.346058,1.181141,-2.036836
1778594577.5636313,-0.345977,1.181242,-2.047965
1778594577.6124551,-0.345804,1.181309,-2.061031
1778594577.6633325,-0.345664,1.181459,-2.073299
1778594577.7133079,-0.345648,1.181527,-2.085640
1778594577.763285,-0.345571,1.181777,-2.098760
1778594577.8043714,-0.345470,1.181966,-2.109432
1778594577.8531675,-0.345401,1.182146,-2.123385
1778594577.9241872,-0.345076,1.182113,-2.143543
1778594577.968524,-0.344941,1.182134,-2.155719
1778594578.0133429,-0.344760,1.182139,-2.167389
1778594578.06334,-0.344734,1.182261,-2.179930
1778594578.1133459,-0.344636,1.182491,-2.192616
1778594578.1634958,-0.344508,1.182622,-2.205801
1778594578.2033942,-0.344423,1.182843,-2.217296
1778594578.2724824,-0.344172,1.183050,-2.236033
1778594578.3247473,-0.343924,1.183074,-2.250942
1778594578.3637323,-0.343798,1.183126,-2.260985
1778594578.413359,-0.343771,1.183124,-2.272968
1778594578.463342,-0.343658,1.183234,-2.285545
1778594578.5133157,-0.343511,1.183354,-2.298578
1778594578.5642974,-0.343255,1.183521,-2.312961
1778594578.6034212,-0.343107,1.183560,-2.323566
1778594578.652484,-0.342992,1.183698,-2.337065
1778594578.7196784,-0.342821,1.183754,-2.355025
1778594578.7665098,-0.342672,1.183845,-2.366980
1778594578.817361,-0.342614,1.183875,-2.379704
1778594578.8603466,-0.342396,1.183879,-2.391345
1778594578.9143474,-0.342234,1.183997,-2.405962
1778594578.964292,-0.342051,1.184110,-2.420730
1778594579.0054388,-0.341765,1.184084,-2.432587
1778594579.0547423,-0.341602,1.184046,-2.445190
1778594579.104289,-0.341505,1.183949,-2.457039
1778594579.1648924,-0.341354,1.183924,-2.472575
1778594579.2133646,-0.341287,1.183917,-2.485588
1778594579.2643492,-0.341108,1.183912,-2.499542
1778594579.313552,-0.340874,1.183965,-2.513510
1778594579.3643003,-0.340680,1.184025,-2.525611
1778594579.4044883,-0.340473,1.184020,-2.536527
1778594579.4530084,-0.340380,1.184060,-2.549455
1778594579.5038774,-0.340230,1.184149,-2.563341
1778594579.564625,-0.339971,1.184303,-2.579786
1778594579.6134508,-0.339862,1.184365,-2.592564
1778594579.664355,-0.339570,1.184450,-2.605376
1778594579.7143223,-0.339331,1.184509,-2.617526
1778594579.7643068,-0.339160,1.184656,-2.631382
1778594579.804435,-0.338987,1.184683,-2.642056
1778594579.8541656,-0.338883,1.184651,-2.655173
1778594579.924173,-0.338735,1.184485,-2.674970
1778594579.9646077,-0.338601,1.184409,-2.686532
1778594580.0143762,-0.338616,1.184171,-2.700476
1778594580.0643556,-0.338377,1.184073,-2.712840
1778594580.1143289,-0.338168,1.184024,-2.725695
1778594580.1643054,-0.338045,1.183813,-2.738512
1778594580.2044554,-0.337942,1.183697,-2.749775
1778594580.27369,-0.337862,1.183590,-2.768988
1778594580.3038747,-0.337706,1.183551,-2.777058
1778594580.364595,-0.337513,1.183417,-2.793182
1778594580.4135785,-0.337357,1.183439,-2.805736
1778594580.4637086,-0.337221,1.183439,-2.818220
1778594580.5143316,-0.337035,1.183519,-2.830964
1778594580.56431,-0.336978,1.183470,-2.844342
1778594580.6034582,-0.336916,1.183357,-2.855896
1778594580.6542888,-0.336701,1.183312,-2.869350
1778594580.7043524,-0.336590,1.183149,-2.882681
1778594580.7635593,-0.336395,1.183005,-2.898462
1778594580.8143797,-0.336243,1.182983,-2.910877
1778594580.8643649,-0.336037,1.182952,-2.923774
1778594580.9143376,-0.335920,1.182948,-2.936201
1778594580.9643137,-0.335748,1.182958,-2.950152
1778594581.0034683,-0.335639,1.182854,-2.961076
1778594581.0739129,-0.335491,1.182540,-2.979404
1778594581.103979,-0.335380,1.182517,-2.986954
1778594581.1634057,-0.335231,1.182505,-3.002072
1778594581.213382,-0.335083,1.182451,-3.014457
1778594581.2643676,-0.334988,1.182499,-3.027508
